#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-09-02T18:25:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631248d42a3e4c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-order=I
#-out.src=I/239/hip_main
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=hipparcos&HTTPPRM:&&-ref=VIZ631248d42a3e4c&-out.max=50&-out.form=HTML Table&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Vmag&Vmag=<=6&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_main
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-out=HIP
#-out=Vmag
#Vmag=<=6
#-out=Plx
#-out=pmRA
#-out=pmDE
#-out=e_Plx
#-out=B-V
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP|Vmag|Plx|pmRA|pmDE|e_Plx|B-V|_RA.icrs|_DE.icrs
 95937| 5.03|   6.49|   23.06|  -10.53|  0.75| 1.770|292.66598928|-02.78888694
 95947| 3.05|   8.46|   -7.09|   -5.63|  0.58| 1.088|292.68033578|+27.95968112
 95951| 5.12|   8.67|   -1.95|   -0.98|  0.65|-0.095|292.68914756|+27.96527652
 95999| 5.98|   3.13|   17.19|  -13.42|  0.74| 1.638|292.79570948|-68.43391975
 96014| 5.55|   7.01|  -30.60|   45.82|  0.46| 1.274|292.83054813|+50.30670588
 96016| 5.89|  16.87|   11.33|   25.23|  0.67| 0.915|292.84009004|+26.61717129
 96052| 4.74|   5.20|    1.06|   -3.58|  0.55|-0.150|292.94300748|+34.45296837
 96100| 4.67| 173.41|  598.43|-1738.81|  0.46| 0.786|293.08996173|+69.66117540
 96141| 5.76|   8.05|   32.87|   -6.87|  0.74| 0.300|293.22425881|-53.18561773
 96178| 5.59|   7.47|  -16.24|  -24.46|  0.86|-0.020|293.34008670|-45.27174848
 96198| 6.00|   2.23|    3.04|  -11.47|  0.49| 1.545|293.42336159|+49.26231871
 96229| 4.45|  29.50|  212.76| -155.39|  0.78| 1.176|293.52230372|+07.37894150
 96234| 5.89|   7.49|    4.44|   -2.12|  0.88| 0.105|293.53535663|-40.03463823
 96258| 5.71|  39.08|   31.72| -188.14|  0.47| 0.475|293.58245908|+51.23661978
 96275| 5.00|   5.36|   13.41|    2.22|  0.65|-0.093|293.64540118|+19.77340282
 96288| 5.34|   6.37|    2.56|  -31.28|  0.47| 0.060|293.67191370|+42.41250862
 96302| 5.39|   6.06|   15.14|   17.81|  0.58| 0.581|293.71220307|+29.46295440
 96327| 5.12|   7.34|    6.87|   -3.04|  0.76| 1.122|293.78023887|-10.56044383
 96341| 4.88|   8.19|   -7.04|  -37.43|  0.85| 1.096|293.80411512|-48.09920159
 96406| 5.64|  11.23|    6.08|  -26.37|  0.90| 0.185|294.00688893|-24.71908146
 96441| 4.49|  53.78|   -8.15|  262.98|  0.47| 0.395|294.11056248|+50.22110266
 96459| 5.17|  24.64|  -94.61| -103.78|  0.49| 0.928|294.15823770|+44.69493598
 96465| 4.59|  17.24|   68.70|  -23.19|  0.89|-0.075|294.17680514|-24.88362300
 96468| 4.36|  10.61|    1.89|  -20.75|  0.94|-0.079|294.18032351|-01.28660090
 96481| 5.98|   2.86|    9.16|    3.21|  0.82| 0.881|294.21855197|+11.27320595
 96483| 4.93|   2.24|    1.29|   -2.69|  0.81|-0.046|294.22270556|-07.02747723
 96496| 5.66|   7.37|   10.54|  -13.78|  0.75| 1.237|294.26392119|-18.23105210
 96516| 5.67|   6.89|   17.24|   13.70|  0.72| 1.007|294.32247373|+16.46280251
 96536| 5.46|  32.36| -104.36| -146.68|  0.74| 0.501|294.39339105|-14.30180083
 96556| 5.45|  31.14|  104.78|  -53.59|  0.86| 0.429|294.44715718|-04.64763991
 96620| 5.89|  25.12|   35.41|  163.89|  0.56| 0.482|294.67159857|+54.97379334
 96665| 5.18|   4.78|    2.08|   -3.78|  0.82|-0.001|294.79850601|+05.39777322
 96683| 4.68|  13.00|    1.95|   36.07|  0.59| 0.971|294.84419004|+30.15332117
 96693| 5.41|   4.76|   23.75|   27.26|  0.49|-0.063|294.86035556|+42.81827784
 96757| 4.39|   6.89|   15.09|  -19.72|  0.69| 0.777|295.02413251|+18.01389046
 96760| 5.97|   7.86|   29.69|  -12.77|  0.97| 1.038|295.02985753|-23.42908567
 96807| 5.64|  11.44|   12.59|   24.51|  0.89| 0.123|295.18050094|-00.62123323
 96808| 5.30|  13.31|   69.65|  -50.20|  0.80| 1.109|295.18076475|-16.29326756
 96825| 5.06|  20.51|   84.06|  120.38|  0.50| 0.426|295.20909781|+45.52494199
 96837| 4.39|   6.99|    9.06|  -33.90|  0.67| 1.041|295.26224687|+17.47604116
 96840| 5.98|   1.98|    0.00|  -10.95|  0.82|-0.078|295.27303453|+13.81568165
 96895| 5.99|  46.25| -147.75| -158.85|  0.50| 0.643|295.45397281|+50.52506025
 96950| 5.06|  18.67|   67.78|   -9.23|  0.88| 0.319|295.62972399|-16.12399635
 96957| 5.28|   4.34|    3.43|  -10.49|  0.86| 0.575|295.64170549|+11.82658290
 96977| 5.93|   1.45|    2.10|   -1.21|  0.57| 0.118|295.68585840|+32.42674142
 97063| 5.49|  27.26|  135.55| -185.17|  2.35| 0.460|295.88970937|-15.47010548
 97077| 5.50|   9.15|   11.60|   23.05|  0.66| 0.939|295.92885488|+25.77192859
 97081| 5.86|   5.17|   19.09|   10.07|  0.52| 1.598|295.93790338|+41.77310845
 97118| 4.89|  11.70|   72.58|   35.14|  0.50| 0.948|296.06918701|+37.35435508
 97122| 5.90|   7.37|    8.78|  -22.17|  0.47| 0.072|296.07673388|+69.33706468
 97165| 2.86|  19.07|   43.22|   48.44|  0.45|-0.002|296.24365768|+45.13080969
 97229| 5.89|  18.48|   53.84|    0.10|  0.83| 0.180|296.41644774|+07.61315808
 97260| 5.51|   5.98|    1.49|  -13.52|  1.00| 0.024|296.50507059|-31.90857140
 97278| 2.72|   7.08|   15.72|   -3.08|  0.75| 1.507|296.56491454|+10.61326120
 97290| 4.87|  15.92| -128.89|  -89.81|  0.77| 1.061|296.59058063|-19.76111311
 97295| 5.00|  47.94|   23.05| -448.66|  0.54| 0.476|296.60666696|+33.72759764
 97365| 3.68|   7.28|   -4.58|   11.10|  0.83| 1.313|296.84692668|+18.53428610
 97376| 5.83|   6.67|    4.45|   -1.16|  0.56|-0.087|296.86574821|+38.40761389
 97402| 6.00|   8.16|   67.54|  -21.98|  0.72| 0.993|296.95225356|+25.38405839
 97421| 5.33|  19.19|   92.40| -137.40|  0.67| 0.196|297.00499561|-56.36261151
 97433| 3.84|  22.40|   80.18|   39.02|  0.45| 0.888|297.04313380|+70.26793017
 97473| 5.75|   5.72|   15.95|   -9.79|  1.10| 0.546|297.17523982|+11.81589634
 97496| 5.01|   9.99|   17.91|   26.47|  0.87| 0.095|297.24441613|+19.14204240
 97499| 6.00|  11.42|   30.84|  -21.34|  0.76| 1.233|297.25918329|-10.87076339
 97534| 5.39|  24.08|    6.91|   14.67|  0.56| 0.234|297.35544280|-72.50337842
 97598| 5.91|   2.92|    8.52|  -12.99|  1.01| 1.678|297.55858176|-47.55739190
 97630| 5.18|   5.08|   12.65|  105.85|  0.54| 1.665|297.64164960|+38.72241938
 97634| 5.68|   1.27|   -2.19|   -7.67|  0.49|-0.058|297.65553123|+40.59975936
 97635| 5.03|  16.96|  -10.28|  -67.99|  0.45| 1.286|297.65718237|+52.98800132
 97646| 5.41|  12.55|   23.09|  -12.21|  0.71| 0.082|297.68667960|-59.19366683
 97649| 0.76| 194.44|  536.82|  385.54|  0.94| 0.221|297.69582916|+08.86832198
 97650| 5.38|  37.86|  -32.35|   31.84|  0.97| 0.402|297.69493251|-10.76351163
 97675| 5.12|  51.57|  240.09| -134.51|  0.77| 0.563|297.75684431|+10.41572697
 97679| 4.90|   5.27|   23.35|  -16.65|  0.69|-0.153|297.76711829|+22.61004629
 97749| 5.32|   9.62|   19.12|  -12.05|  0.86|-0.045|297.96085286|-39.87436734
 97757| 5.60|   0.22|   -2.76|   -3.99|  0.48|-0.078|297.99612216|+47.02733897
 97765| 5.54|   1.83|   -0.15|   -3.93|  0.76| 0.680|298.00664168|+24.99216201
 97774| 5.91|   1.32|   -6.25|   -9.81|  0.52|-0.174|298.02985867|+47.93179472
 97783| 5.88|  10.46|   -2.46|  -53.25|  0.93| 0.979|298.05001477|-19.04499128
 97804| 3.87|   2.78|    6.94|   -7.30|  0.91| 0.630|298.11819944|+01.00566053
 97816| 5.76|   9.21|   20.52|    4.41|  1.45| 0.915|298.15717895|-54.97102580
 97870| 5.14|   5.11|    5.96|    7.64|  0.49|-0.125|298.32240570|+57.52348186
 97871| 5.63|  11.79|   21.64|   13.62|  0.93| 0.231|298.32806575|-03.11446372
 97886| 4.57|   9.08|   22.78|   36.29|  0.67|-0.047|298.36539742|+24.07961388
 97928| 5.76|   8.27|    7.87|  -18.97|  1.06| 1.664|298.53448838|-08.57421100
 97938| 4.71|  15.96|  101.43|  -81.28|  1.01| 1.023|298.56200660|+08.46145271
 97961| 5.56|   6.90|   23.52|   -0.79|  0.72|-0.018|298.62948485|+24.31938849
 97966| 5.70|   9.74|    8.11|  -25.71|  1.08|-0.079|298.65688499|-08.22728863
 97980| 5.60|   9.45|   42.37|  -13.20|  1.15| 0.098|298.68665422|+00.27362751
 97985| 5.79|   2.12|   11.16|    8.54|  0.51| 0.773|298.70104514|+36.99567607
 98032| 4.12|  17.24|   23.37|   51.60|  0.85| 1.063|298.81540582|-41.86828808
 98036| 3.71|  72.95|   46.35| -481.32|  0.83| 0.855|298.82830569|+06.40676346
 98055| 4.91|  11.30|  -36.62|  -31.02|  0.58| 0.124|298.90744681|+52.43894787
 98066| 4.70|  42.03|  203.96|   74.40|  0.94| 0.748|298.95982398|-26.29950635
 98068| 4.95|   2.71|    1.46|    0.60|  0.54|-0.086|298.96567625|+38.48670538
 98073| 4.98|   3.55|   -9.00|  -20.86|  0.50| 1.584|298.98074231|+58.84596912
 98085| 5.71|   0.76|    1.00|   -6.89|  0.73| 0.903|299.00526654|+16.63479915
 98103| 5.28|  15.84|   32.40|    4.57|  0.76| 0.014|299.05938319|+11.42372089
 98110| 3.89|  23.40|  -34.00|  -27.60|  0.54| 1.019|299.07654970|+35.08342371
 98162| 4.54|   2.70|    9.60|  -14.95|  0.75| 1.462|299.23679661|-27.16989884
 98174| 5.24|  10.81|   23.55|  -14.87|  0.68| 0.014|299.27629174|-58.90135155
 98194| 5.46|   2.13|    7.08|   -0.47|  0.54|-0.090|299.30778315|+40.36782391
 98234| 5.54|   8.06|   11.52|   19.66|  0.69|-0.048|299.43935674|+16.78916315
 98258| 5.01|  11.18|   17.83|  -93.66|  1.01| 0.055|299.48762968|-15.49149020
 98325| 5.51|   5.99|   33.23|   -2.60|  0.58|-0.060|299.65825586|+30.98366542
 98332| 5.74|  14.08|   69.18| -100.60|  0.66| 0.224|299.67204736|-69.16395702
 98337| 3.51|  11.90|   64.37|   22.58|  0.71| 1.571|299.68928113|+19.49214775
 98353| 4.84|   9.58|   34.50|   24.74|  0.83| 0.882|299.73832815|-26.19576726
 98375| 5.68|  20.66|  -70.78|    3.07|  1.07| 0.345|299.79390784|+23.10128127
 98383| 5.92|   6.91|   11.54|  -16.72|  0.62| 0.185|299.83510276|+45.77254100
 98412| 4.37|   5.28|    6.02|  -25.15|  0.90|-0.150|299.93407757|-35.27630546
 98416| 5.87|  40.75| -246.73| -392.36|  1.35| 0.598|299.94726369|-09.95823773
 98421| 5.30|  20.81|  108.71|  -69.13|  0.88| 0.170|299.96398797|-34.69779905
 98425| 5.15|   2.07|    0.41|   -0.24|  0.50|-0.133|299.97998104|+37.04288544
 98438| 5.33|   4.37|    1.73|  -12.22|  0.73| 1.576|300.01378502|+17.51651107
 98461| 5.95|  10.33|   19.54|   -1.15|  0.81| 0.989|300.06638742|-37.70171949
 98470| 5.65|  47.90|  130.79| -289.30|  1.06| 0.498|300.08437729|-33.70345186
 98478| 5.75|  15.09|   -3.67| -194.28|  0.74| 1.033|300.09625434|-66.94935994
 98495| 3.97|  30.73|   80.54| -131.34|  0.55|-0.032|300.14813841|-72.91050366
 98512| 5.80|   9.07|    3.39|    5.82|  0.87| 0.295|300.20136014|-45.11291835
 98526| 5.90|   3.63|   11.14|  -13.96|  0.87| 1.529|300.24574019|+08.55773487
 98543| 4.66|  14.67|   57.99|    3.76|  0.64| 0.184|300.27520144|+27.75357306
 98571| 5.06|   7.60|   16.31|    6.14|  0.47| 1.122|300.33984712|+50.10469490
 98583| 5.22|   5.78|   10.01|  -12.45|  0.49| 1.598|300.36893940|+64.82097431
 98609| 5.88|   4.85|    6.72|   -0.78|  0.66|-0.134|300.43629598|+24.80042345
 98608| 4.95|   7.52|   19.73|  -26.89|  0.79| 1.356|300.43643688|-59.37589340
 98624| 5.32|  13.91|   38.48|  -71.53|  0.66| 1.218|300.46858915|-66.94396609
 98633| 5.69|  10.54|   38.87|   10.41|  0.87| 0.079|300.49416893|-13.63721711
 98636| 5.23|  15.43|   89.69|   69.73|  0.97| 0.374|300.50596562|+24.93804313
 98688| 4.43|   7.28|   32.28|   14.35|  0.74| 1.640|300.66450229|-27.70984484
 98702| 4.51|   8.02|   16.43|   47.80|  0.50| 1.313|300.70446942|+67.87356490
 98738| 5.99|   3.84|   11.41|  -19.67|  0.73| 1.420|300.81833240|+18.50099282
 98754| 5.73|   5.12|    5.05|   -7.73|  0.70|-0.095|300.87506577|+16.03125458
 98761| 4.77|   8.05|   64.71|  -85.44|  0.83| 1.417|300.88941349|-37.94069870
 98767| 5.73|  62.92|  683.32| -524.06|  0.62| 0.749|300.90585631|+29.89680555
 98819| 5.80|  56.60| -394.07| -406.42|  0.76| 0.600|301.02593601|+17.07017322
 98823| 5.51|   6.19|   14.24|   12.97|  0.79| 1.063|301.03464661|+07.27796579
 98842| 4.99|  10.05|   43.01|  -10.78|  0.84| 1.208|301.08163573|-32.05629561
 98844| 5.67|   5.60|   -2.21| -118.27|  0.84| 1.301|301.09646574|-00.70930860
 98863| 5.62|   0.24|   -2.80|  -11.12|  0.56| 0.760|301.15072827|+32.21859764
 98920| 5.09|  20.17|   30.61|   79.65|  0.71| 1.058|301.28955674|+19.99107063
 98962| 5.40|  18.78|  123.82|   70.60|  0.44| 1.191|301.38699570|+61.99541982
 99026| 5.81|  27.43|  212.85|  255.21|  0.46| 0.445|301.55769149|+53.16568776
 99031| 5.38|  41.34| -224.43| -440.57|  0.54| 0.850|301.59069831|+35.97246811
 99080| 5.08|   6.68|   15.18|    0.45|  0.71|-0.162|301.72253149|+23.61442518
 99120| 4.93|   2.60|  -12.72|    6.88|  0.72| 1.591|301.84648453|-52.88079300
 99171| 5.97|  20.89|  116.60|  -67.94|  0.89| 1.023|302.00759586|-00.67818539
 99240| 3.55| 163.73| 1210.29|-1130.34|  0.65| 0.751|302.18170154|-66.18206819
 99255| 4.38|   9.97|   11.11|   23.72|  0.47|-0.046|302.22227861|+77.71141943
 99303| 4.93|   3.79|    3.15|   12.96|  0.53|-0.139|302.35674599|+36.83962153
 99404| 5.51|   7.77|   18.29|   12.92|  0.65| 0.087|302.63973680|+26.90416876
 99461| 5.32| 165.24|  456.89|-1574.91|  0.90| 0.868|302.79974205|-36.10121213
 99473| 3.24|  11.36|   35.48|    6.05|  0.92|-0.066|302.82618951|-00.82146099
 99500| 5.70|  20.54|  137.31|   80.09|  0.52| 0.530|302.89548025|+62.07854220
 99518| 5.51|   2.02|    1.41|  -10.37|  0.63| 1.397|302.94989392|+26.80899041
 99531| 5.91|   2.86|    4.48|  -10.08|  0.65|-0.107|303.00292293|+26.47880654
 99572| 5.84|  35.65|  193.25| -195.60|  0.92| 0.476|303.10779499|-12.61749756
 99631| 5.44|   3.67|   24.87|  -30.06|  0.96| 1.430|303.30784141|-01.00933927
 99639| 4.80|   4.55|   13.39|    1.93|  0.53| 0.100|303.32522252|+46.81567507
 99655| 4.28|  21.41|   60.85|   82.26|  0.45| 0.114|303.34943986|+56.56772217
 99663| 5.81|   5.49|   39.03|   55.82|  0.49| 1.476|303.36506529|+60.64056887
 99675| 3.80|   2.41|    4.20|    1.87|  0.57| 1.270|303.40794272|+46.74132872
 99738| 5.19|   9.97|   12.18|  -19.01|  0.58| 0.191|303.56053824|+28.69481733
 99742| 4.94|  21.24|   55.69|   57.98|  0.78| 0.072|303.56924693|+15.19760859
 99747| 5.65|   3.56|   20.80|  -52.67|  0.70| 1.497|303.57928141|-52.44576973
 99770| 4.93|  24.37|   69.22|   68.67|  0.55| 0.151|303.63347045|+36.80630231
 99824| 4.79|   2.72|    6.90|   -5.02|  0.77|-0.181|303.81623086|+25.59195704
 99825| 5.73| 113.33| 1241.35| -181.46|  0.89| 0.878|303.82246194|-27.03297677
 99841| 5.70|  10.86|  -31.88| -117.82|  0.58| 0.926|303.84903774|+33.72908383
 99848| 3.96|   2.94|    3.88|    1.20|  0.60| 1.451|303.86800672|+47.71420822
 99853| 5.18|   0.75|    2.66|   -6.89|  0.65| 1.016|303.87599551|+23.50890567
 99874| 4.50|   9.94|  -34.37|    5.77|  0.64| 1.258|303.94222813|+27.81424252
 99889| 5.87|  28.97|    9.25|  -54.94|  0.52| 0.447|304.00256183|+45.57952514
 99951| 5.30|   6.91|   14.41|  -16.71|  0.64| 0.951|304.19619100|+24.67110166
 99968| 5.27|   3.26|    2.01|   -1.89|  0.52| 1.650|304.23035640|+40.36507501
100017| 5.91|  56.92|  468.52|  296.81|  0.52| 0.602|304.38053244|+66.85368726
100027| 4.30|   4.75|   22.24|    0.75|  0.96| 0.928|304.41195582|-12.50821221
100044| 4.77|   0.52|   -3.53|   -6.88|  0.50| 0.377|304.44667430|+38.03293038
100062| 5.86|   9.55|   35.39|  -24.74|  0.87| 1.002|304.50582282|-21.80996026
100064| 3.58|  30.01|   61.78|    2.85|  0.91| 0.883|304.51356413|-12.54485184
100069| 5.83|   2.10|   -2.51|   -6.53|  0.61| 0.073|304.52911700|+40.73208230
100097| 5.76|  11.21|   -7.58|  -31.19|  0.64| 0.118|304.60312616|+55.39709469
100108| 5.58|  16.76|   40.35|   20.06|  0.52| 0.056|304.61939765|+36.99980266
100122| 5.14|   1.63|    0.10|   -3.81|  0.54| 0.660|304.66279134|+34.98277505
100195| 5.28|   4.68|    7.96|  -10.90|  0.91| 1.394|304.84835064|-19.11853329
100221| 5.71|   8.62|   16.74|   24.16|  0.52|-0.043|304.90299439|+62.25747223
100256| 5.96|  11.09|   -2.65|   -4.03|  0.80| 0.299|305.00079007|+13.54809129
100261| 5.59|   4.79|   18.02|   26.44|  0.52| 1.472|305.02505368|+68.88031746
100276| 5.82|   6.83|   16.32|  -30.88|  0.72| 1.500|305.08919406|+17.79292755
100310| 4.77|  11.98|   15.71|  -14.63|  0.97|-0.047|305.16590060|-12.75907959
100345| 3.05|   9.48|   48.42|   14.00|  0.95| 0.790|305.25281519|-14.78136716
100357| 5.69|   4.45|    6.14|   14.52|  0.51| 1.561|305.29802056|+63.98012256
100435| 5.50|   1.81|    1.92|   -6.89|  0.64|-0.090|305.51429481|+24.44609928
100437| 5.58|   7.86|   25.06|   39.70|  0.53| 1.077|305.52236511|+45.79499386
100453| 2.23|   2.14|    2.43|   -0.93|  0.51| 0.673|305.55709120|+40.25667924
100469| 5.60|  13.35|   32.94|  -81.98|  0.81| 0.002|305.61460531|-42.04954821
100501| 5.95|   3.81|    1.26|  -49.66|  0.54| 1.632|305.68873297|+41.02601218
100541| 5.30|  13.23|  -26.89|  -37.12|  0.80| 0.983|305.79455687|+05.34298725
100574| 5.87|   3.65|    5.09|    0.17|  0.53|-0.173|305.93487099|+37.47644863
100587| 4.43|  12.77|   35.71|   -5.81|  0.62| 1.331|305.96508591|+32.19017195
100591| 5.64|   8.80|  -11.08|   14.99|  0.95| 0.201|305.97157577|-42.42286820
100738| 5.86|   6.03|   11.73|    4.05|  0.86| 1.101|306.36178410|-28.66326948
100751| 1.94|  17.80|    7.71|  -86.15|  0.70|-0.118|306.41190763|-56.73509010
100754| 5.68|   6.00|    8.88|   -8.67|  0.73| 0.921|306.41887268|+21.40964167
100859| 5.73|  26.56|   68.79|   58.48|  0.48| 0.339|306.75944773|+49.38336663
100881| 5.08|   4.90|   10.32|  -10.87|  0.79|-0.049|306.83004095|-18.21172075
100907| 5.63|  12.07|  -22.98|  -78.60|  0.53| 0.072|306.89274082|+38.44033171
100965| 5.38|   7.15|   33.72|   16.19|  0.54| 1.010|307.06077650|+81.42270860
101027| 4.77|  33.04|  -15.79|   -7.66|  0.86| 0.386|307.21505826|-17.81368690
101067| 5.90|   1.93|    2.58|   -1.58|  0.52| 0.407|307.33496018|+36.45472900
101076| 4.01|   4.30|    6.87|   -0.64|  0.52| 0.404|307.34889835|+30.36855505
101084| 5.89|   3.64|    4.57|    4.63|  0.54|-0.052|307.36296162|+56.06819023
101082| 5.96|  15.88|   67.05|  221.67|  0.52| 0.942|307.36485961|+81.09127721
101093| 4.21|  24.04|   45.00|  -13.31|  0.53| 0.199|307.39535470|+62.99410487
101101| 4.91|  17.08|   71.88|  -22.39|  0.94| 1.160|307.41250268|-02.88553072
101123| 5.94|  13.65|   25.56|  -79.45|  2.42| 0.062|307.47461485|-18.58317785
101138| 4.94|   3.75|   10.01|    7.64|  0.50|-0.087|307.51475272|+48.95156896
101243| 5.44|   8.07|    8.79|  -31.28|  0.49| 1.566|307.82840129|+49.22029727
101260| 5.18|   7.82|    6.36|  -16.47|  0.54| 0.100|307.87672152|+74.95461939
101345| 5.66|  41.26|  307.59|  106.07|  0.87| 0.689|308.09873181|-09.85338362
101421| 4.03|   9.09|   10.75|  -28.54|  0.81|-0.123|308.30321322|+11.30326280
101427| 5.76|   6.19|    8.35|  -14.88|  0.61| 1.122|308.32351584|-80.96486250
101474| 4.61|   3.51|   -2.26|   -5.35|  0.65| 1.593|308.47577758|+35.25085182
101475| 5.78|   6.78|    9.66|    1.82|  0.68|-0.140|308.47851612|+46.69386601
101477| 5.12|  15.10|   11.17|  -35.67|  0.80| 0.999|308.47946766|-44.51604811
101483| 5.39|  18.85|   76.49|   21.89|  0.82| 0.093|308.48767775|+13.02725466
101589| 4.64|  14.36|   45.08|   11.71|  0.75| 0.120|308.82723064|+14.67421328
101612| 4.75|  36.27|   70.15| -185.58|  0.67| 0.291|308.89521457|-60.58174925
101692| 4.91|   1.48|    9.09|  -16.05|  0.91| 1.606|309.18180149|-02.54995715
101716| 5.59|  10.68|   16.27|  -11.39|  0.67|-0.050|309.26947172|+26.46194731
101769| 3.64|  33.49|  118.28|  -47.65|  0.88| 0.425|309.38725441|+14.59508707
101772| 3.11|  32.21|   49.20|   66.07|  0.75| 0.998|309.39179996|-47.29150180
101773| 4.86|  16.73|   59.15|  -71.70|  0.64| 0.447|309.39713384|-61.52991842
101800| 5.42|  18.40|   40.01|   -8.51|  0.80| 0.050|309.45466616|+11.37767596
101843| 5.89|   5.13|    0.60|  -38.24|  0.56| 1.692|309.57753033|-81.28906305
101847| 4.31|   8.50|   15.66|  -17.01|  1.00| 0.949|309.58451101|-01.10512085
101867| 4.81|  15.27|   74.38|   -2.48|  0.67|-0.030|309.63057872|+21.20117361
101868| 5.06|   6.61|    9.99|   -7.80|  0.66|-0.133|309.63297767|+24.11595846
101870| 5.91|   1.65|    4.09|   -5.32|  0.74| 0.953|309.64579597|+23.68049438
101882| 5.69|   2.50|    2.66|   -0.39|  0.75| 1.509|309.68327632|+13.31512472
101899| 5.68|   8.44|  -27.45|  -65.54|  0.55| 1.088|309.74798759|+30.33426539
101909| 5.99|   2.51|   -2.33|  -15.14|  0.81|-0.145|309.77069661|+15.83819878
101916| 5.07|  33.27|  323.58|   21.07|  0.82| 0.702|309.78243422|+10.08620317
101923| 5.24|   1.86|    2.58|  -19.66|  1.08|-0.129|309.81799098|-14.95476011
101936| 5.15|  13.33|  103.00|  -19.44|  0.88| 1.060|309.85371476|+00.48644465
101958| 3.77|  13.55|   54.14|    7.91|  0.71|-0.057|309.90953078|+15.91207193
101983| 5.11|  41.33|  312.88| -568.99|  0.73| 0.544|310.01099015|-60.54889232
101984| 5.15|   4.32|  -22.73|  -21.63|  0.91| 1.647|310.01226894|-18.13865887
101986| 5.97|   6.93|  -69.45|  -56.74|  0.54| 1.186|310.01316638|+43.45887839
102014| 5.47|  13.64|   22.87|   35.93|  0.79| 1.118|310.08261887|-33.43184305
102026| 5.79|   9.90|  -68.21|   73.94|  1.05| 0.997|310.13549209|-16.12417969
102066| 5.53|   4.05|    2.86|  -11.79|  0.57| 0.871|310.26059195|+32.30728720
102092| 5.75|   7.78|  110.84|  -60.44|  0.78| 1.551|310.34857637|-31.59828927
102098| 1.25|   1.01|    1.56|    1.55|  0.57| 0.092|310.35797809|+45.28033800
102155| 5.68|   3.13|    4.07|    1.12|  0.54|-0.107|310.48542073|+41.71687469
102157| 5.14|   3.88|    8.89|  -23.23|  0.66|-0.061|310.48781757|-66.76068188
102162| 5.99|   9.68|  190.83|   -9.43|  0.54| 0.450|310.51244652|-76.18059183
102177| 5.41|   3.53|    1.14|    3.71|  0.56|-0.107|310.55261583|+50.34002969
102208| 5.75|   9.11|   30.77|   21.68|  0.51| 0.000|310.64682456|+82.53115853
102253| 5.59|  23.49|   25.11|   34.71|  0.49| 0.218|310.79591900|+66.65744729
102281| 4.43|  16.03|  -19.61|  -41.74|  0.68| 0.302|310.86472445|+15.07458079
102333| 4.51|  41.38|  155.49|  -53.64|  0.82| 0.278|311.00972399|-51.92097088
102358| 5.91|   3.38|    9.84|   -1.60|  0.47| 1.643|311.09188031|+56.48840467
102388| 4.92|   8.94|  -27.74| -177.60|  0.77| 1.183|311.21877223|+25.27061656
102395| 3.42|  23.71|  -42.40|   10.57|  0.63| 0.163|311.23955989|-66.20321257
102422| 3.41|  69.73|   86.08|  817.89|  0.49| 0.912|311.32239594|+61.83878197
